Division,District,Upazila,Market Name,Commodity Name,Year,Retail Unit,Retail Price,Average Price,Whole Sale Unit,Wholesale price,Average Price
Rajshahi,Rajshahi,Rajshahi City Corporation,Rajshahi Sadar Bazar,Sonali Chicken,2025,Kilogram,271.8--290.9,281.35,Quintal,"25,075.19--26,887.22","25,981.20"
Rajshahi,Rajshahi,Rajshahi City Corporation,Rajshahi Sadar Bazar,Local Hen - Medium (700-850 gm),2026,Kilogram,549.81--563.05,556.43,Quintal,"52,266.23--53,509.74","52,887.99"
Rajshahi,Rajshahi,Rajshahi City Corporation,Rajshahi Sadar Bazar,Broiler chicken,2026,Kilogram,170.42--178.7,174.56,Quintal,"103,383.12--11,978.57","57,680.84"
Rajshahi,Rajshahi,Rajshahi City Corporation,Rajshahi Sadar Bazar,Sonali Chicken,2026,Kilogram,294.22--321.62,307.92,Quintal,"27,237.01--29,538.96","28,387.99"
Rajshahi,Natore,Natore Sadar,Nator Bazar,Farm-raised Hen,2025,Kilogram,145.04--155.04,150.04,Quintal,"13,503.62--14,503.62","14,003.62"
Rajshahi,Natore,Natore Sadar,Nator Bazar,Sonali Chicken,2025,Kilogram,253.51--263.41,258.46,Quintal,"24,351.45--25,351.45","24,851.45"
Rajshahi,Natore,Natore Sadar,Nator Bazar,Farm-raised Hen,2026,Kilogram,161.26--170.75,166.01,Quintal,"14,871.07--16,053.46","15,462.26"
Rajshahi,Natore,Natore Sadar,Nator Bazar,Sonali Chicken,2026,Kilogram,276.92--286.92,281.92,Quintal,"26,660.38--27,660.38","27,160.38"
Rajshahi,Joypurhat,Joypurhat Sadar,Joypurhat Sadar Bazar,Local Hen - Small (500-650 gm),2025,Kilogram,458.44--472.81,465.63,Quintal,"44,102.96--45,228.15","44,665.56"
Rajshahi,Joypurhat,Joypurhat Sadar,Joypurhat Sadar Bazar,Farm-raised Hen,2025,Kilogram,149.3--155.56,152.43,Quintal,"13,401.48--14,273.33","13,837.41"
Rajshahi,Joypurhat,Joypurhat Sadar,Joypurhat Sadar Bazar,Sonali Chicken,2025,Kilogram,262.14--274.96,268.55,Quintal,"25,049.62--25,990.84","25,520.23"
Rajshahi,Joypurhat,Joypurhat Sadar,Joypurhat Sadar Bazar,Local Hen - Small (500-650 gm),2026,Kilogram,534.55--547.97,541.26,Quintal,"51,639.84--53,349.59","52,494.72"
Rajshahi,Joypurhat,Joypurhat Sadar,Joypurhat Sadar Bazar,Farm-raised Hen,2026,Kilogram,164.15--170.41,167.28,Quintal,"15,353.66--15,804.07","15,578.86"
Rajshahi,Joypurhat,Joypurhat Sadar,Joypurhat Sadar Bazar,Sonali Chicken,2026,Kilogram,280.98--292.85,286.91,Quintal,"26,703.25--27,660.98","27,182.11"
Rajshahi,Chapainawabganj,Chapainawabganj Sadar,Chapainawabganj Sadar Bazar,Local Hen - Medium (700-850 gm),2025,Kilogram,441.95--452.03,446.99,Quintal,"42,221.05--43,488.72","42,854.89"
Rajshahi,Chapainawabganj,Chapainawabganj Sadar,Chapainawabganj Sadar Bazar,Sonali Chicken,2025,Kilogram,239.3--248.2,243.75,Quintal,"22,651.56--23,150","22,900.78"
Rajshahi,Chapainawabganj,Chapainawabganj Sadar,Chapainawabganj Sadar Bazar,Broiler chicken,2025,Kilogram,154.09--158.94,156.52,Quintal,"14,370.73--14,713.01","14,541.87"
Rajshahi,Chapainawabganj,Chapainawabganj Sadar,Chapainawabganj Sadar Bazar,Local Hen - Medium (700-850 gm),2026,Kilogram,510.95--522.47,516.71,Quintal,"49,170.89--50,205.7","49,688.29"
Rajshahi,Chapainawabganj,Chapainawabganj Sadar,Chapainawabganj Sadar Bazar,Broiler chicken,2026,Kilogram,167.5--172.75,170.13,Quintal,"17,639.87--16,146.2","16,893.04"
Rajshahi,Chapainawabganj,Chapainawabganj Sadar,Chapainawabganj Sadar Bazar,Sonali Chicken,2026,Kilogram,261.84--269.18,265.51,Quintal,"23,936.08--24,400.63","24,168.35"
Rajshahi,Chapainawabganj,Shibganj,Shibgonj Sadar Bazar,Local Hen - Medium (700-850 gm),2025,Kilogram,420--430,425,Quintal,"40,000--41,000","40,500"
Rajshahi,Chapainawabganj,Shibganj,Shibgonj Sadar Bazar,Broiler chicken,2025,Kilogram,150--155,152.5,Quintal,"14,000--14,200","14,100"
Rajshahi,Chapainawabganj,Shibganj,Shibgonj Sadar Bazar,Sonali Chicken,2025,Kilogram,210--220,215,Quintal,"19,500--19,700","19,600"
